full_name	title	description	hyperlink	count	repeatmasker_type	repeatmasker_subtype	repbase_equiv	wicker_equiv	curcio_derbyshire_equiv	piegu_equiv
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1	Containing the sister classes of Proto-1, L1-like, R2-like, and R4-like LINE elements.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like	Containing the sister classes of DRE, L1, Tx1, and Zorro LINE elements.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;DRE				2	LINE	L1-DRE	non-LTR/	R/I (LINE)/L (L1)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group	Containing the closely related L1 and Tx1 LINE elements.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;L1	A large group of LINE elements with mammalian LINE-1 (L1) as type specimen.			8928	LINE	L1	non-LTR/L1	R/I (LINE)/L (L1)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;L1-group;Tx1				780	LINE	L1-Tx1	non-LTR/Tx1	R/I (LINE)/L (L1)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;L1-like;Zorro					LINE	L1-Zorro	non-LTR/	R/I (LINE)/L (L1)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;Proto-1					LINE	Proto1	non-LTR/Proto1	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;R2-like	Containing the sister clades of R2, Hero and NeSL LINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;R2-like;Hero				214	LINE	R2-Hero	non-LTR/Hero	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;R2-like;NeSL				61	LINE	R2-NeSL	non-LTR/NeSL	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;R2-like;R2				28	LINE	R2	non-LTR/R2	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;R4-like	Containing the sister clades of Deceiver, Dong-R4, and Dualen LINE elements.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;R4-like;Deceiver					LINE	Deceiver	non-LTR/-	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;R4-like;Dong-R4				632	LINE	Dong-R4	non-LTR/R4	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-1;R4-like;Dualen				1	LINE	Dualen	non-LTR/RandI/Dualen	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2	Containing the sister classes of Proto-2, R1-like, and RTE-like LINE elements.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;Proto-2				81	LINE	Proto2	non-LTR/Proto2	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like	Containing Tad1, CR1-related and R1-related LINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;CR1-group	Containing the sister classes of CR1, L2 and Rex-Babar LINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;CR1-group;CR1	A large group of LINE elements with Chicken Repeat 1 (CR1) as type specimen.			11801	LINE	CR1	non-LTR/CR1	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;CR1-group;CR1;Zenon				75	LINE	CR1-Zenon	non-LTR/CR1	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;CR1-group;L2-group	A large group of L2-like elements that can still need to be subclassified.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;CR1-group;L2-group;L2	A large group of LINE elements with mammalian LINE-2 (L2) as type specimen.			10940	LINE	L2	non-LTR/L2	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;CR1-group;Rex-Babar				5089	LINE	Rex-Babar	non-LTR/Rex1	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group	Containing the I, Jockey, LOA and R1 LINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;I-group	Containing the sister classes of I and Jockey LINE elements.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;I-group;I				524	LINE	I	non-LTR/I + Nimb	R/I (LINE)/I	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;I-group;Jockey				164	LINE	I-Jockey	non-LTR/Jockey	R/I (LINE)/J (Jockey)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;R1-subgroup	Containing the closely related LOA and R1 LINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;R1-subgroup;LOA				10	LINE	R1-LOA	non-LTR/Loa	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;R1-group;R1-subgroup;R1				92	LINE	R1	non-LTR/R1	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;Tad1				13	LINE	Tad1	non-LTR/Tad1	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like				149	LINE	RTE	non-LTR/RTE	R/I (LINE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;ORTE				1	LINE	RTE-ORTE	non-LTR/RTE	R/I (LINE)/T (RTE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group										
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;BovB	A subgoup of RTE elements with the bovine BovB as the type specimen.			3013	LINE	RTE-BovB	non-LTR/RTE (and 1 RTETP)	R/I (LINE)/T (RTE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;RTE				133	LINE	RTE-RTE	non-LTR/RTE	R/I (LINE)/T (RTE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;RTE-like;RTE-group;RTE-X				901	LINE	RTE-X	non-LTR/RTEX	R/I (LINE)/T (RTE)	TP-retrotransposons	
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon										
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;Lacking_Small_RNA_pol_III_Promoter				231	Retroposon		non-LTR	R		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;Lacking_Small_RNA_pol_III_Promoter;I-derived	Nonautonomous retroposons derived from I-type LINEs.				Retroposon	I-derived	SINE	R/S (SINE)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;Lacking_Small_RNA_pol_III_Promoter;L1-dependent	A retroposon mobilized by an L1-type LINE.			3	Retroposon	L1-dep	non-LTR	R		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;Lacking_Small_RNA_pol_III_Promoter;L1-dependent;SVA				13	Retroposon	SVA	non-LTR	R		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;Lacking_Small_RNA_pol_III_Promoter;L1-derived	Nonautonomous retroposons derived from L1-type LINEs.				Retroposon	L1-derived	SINE	R/S (SINE)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;Lacking_Small_RNA_pol_III_Promoter;L2-derived	Nonautonomous retroposons derived from L2-type LINEs.			20	Retroposon	L2-derived	SINE	R/S (SINE)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;Lacking_Small_RNA_pol_III_Promoter;R4-derived	Nonautonomous retroposons derived from R4-type LINEs.				Retroposon	R4-derived	SINE	R/S (SINE)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;Lacking_Small_RNA_pol_III_Promoter;RTE-derived	Nonautonomous retroposons derived from RTE-type LINEs.				Retroposon	RTE-derived	non-LTR	R		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE	Short LINE-dependent retroposons with an internal (usually pol III) promoter.	The median length of described SINEs is ca. 250 bp Â±130 bp SD. The canonical SINE has a tRNA 5' end with the internal promoter, a core of unknown function shared with multiple other SINE families, a 3' end identical to that of the LINE responsible for its mobility, and a simple repeat tail. A few SINEs have a LINE-derived internal pol II promoter, and many lack either or both the core and LINE-derived regions.	https://en.wikipedia.org/wiki/Retrotransposon#SINEs	442	SINE		SINE	R/S (SINE)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;5S-RNA_Promoter	SINEs with an internal promoter derived from 5S RNA.			34	SINE	5S	SINE/SINE3	R/S (SINE)/S (5S)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;5S-RNA_Promoter;Deu-core	Animal-wide conserved SINE central region, with the core of the ancient AmnSINE1 as type specimen.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;5S-RNA_Promoter;Deu-core;L2-end	SINE with a 3' end derived from a L2-type LINE.			309	SINE	5S-Deu-L2	SINE/SINE3	R/S (SINE)/S (5S)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;5S-RNA_Promoter;Deu-core;Unknown_LINE-dependent					SINE	5S-Deu	SINE/SINE3	R/S (SINE)/S (5S)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;5S-RNA_Promoter;MIR-core	SINE with a conserved central core region originally described for MIR.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;5S-RNA_Promoter;MIR-core;RTE-end	SINE with a 3' end derived from an RTE-type LINE.			12	SINE	5S-Core-RTE	SINE/SINE3	R/S (SINE)/S (5S)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;5S-RNA_Promoter;No_or_Unknown_Core	SINEs lacking a central region or with central region yet unrelated to that of other SINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;5S-RNA_Promoter;No_or_Unknown_Core;RTE-end	SINE with a 3' end derived from an RTE-type LINE.			1	SINE	5S-RTE				
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;5S-RNA_Promoter;Sauria-core	Conserved central region so far limited to squamate SINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;5S-RNA_Promoter;Sauria-core;RTE-end	SINE with a 3' end derived from an RTE-type LINE.			2	SINE	5S-Sauria-RTE	SINE/SINE3	R/S (SINE)/S (5S)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter	SINEs with an internal promoter derived from 7SL RNA.			7	SINE	7SL	SINE/SINE1	R/S (SINE)/L (7SL)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core	SINEs lacking a central region.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent	A retroposon mobilized by an L1-type LINE.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu	A SINE family specific to primates and rodents.			524	SINE	Alu	SINE/SINE1	R/S (SINE)/L (7SL)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;U-RNA_Promoter	SINEs with an internal promoter derived from a spliceosomal U-RNA.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;U-RNA_Promoter;No_or_Unknown_Core	SINEs lacking a central region or with central region yet unrelated to that of other SINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;U-RNA_Promoter;No_or_Unknown_Core;Unknown_LINE-dependent				55	SINE	U	SINE/SINEU	R/S (SINE)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;Unknown_Promoter										
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;Unknown_Promoter;Ceph-core	Containing a SINE core originally discovered in Cephalopod SINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;Unknown_Promoter;Ceph-core;RTE-end	SINE with a 3' end derived from an RTE-type LINE.			1	SINE	Ceph	SINE	R/S (SINE)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;Unknown_Promoter;MIR-core	SINE with a conserved central core region originally described for MIR.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;Unknown_Promoter;MIR-core;RTE-end	SINE with a 3' end derived from an RTE-type LINE.				SINE	Core-RTE	SINE	R/S (SINE)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;Unknown_Promoter;MIR-core;Unknown_LINE-dependent					SINE	Core	SINE	R/S (SINE)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter	SINEs with an internal promoter derived from a tRNA.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Ceph-core	Containing a SINE core originally discovered in Cephalopod SINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Ceph-core;RTE-end	SINE with a 3' end derived from an RTE-type LINE.				SINE	tRNA-Ceph-RTE	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Ceph-core;Unknown_LINE-dependent					SINE	tRNA-Ceph	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Deu-core	Animal-wide conserved SINE central region, with the core of the ancient AmnSINE1 as type specimen.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Deu-core;CR1-end	SINE with a 3' end derived from a CR1-type LINE.				SINE	tRNA-Deu-CR1	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Deu-core;I-end	SINE with a 3' end derived from a I-type LINE.			1	SINE	tRNA-Deu-I				
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Deu-core;L2-end	SINE with a 3' end derived from a L2-type LINE.			161	SINE	tRNA-Deu-L2	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Deu-core;RTE-end	SINE with a 3' end derived from an RTE-type LINE.			2	SINE	tRNA-Deu-RTE				
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Deu-core;Unknown_LINE-dependent				111	SINE	tRNA-Deu	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;MIR-core	SINE with a conserved central core region originally described for MIR.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;MIR-core;L2-end	SINE with a 3' end derived from a L2-type LINE.			2040	SINE	MIR	SINE/SINE2	R/S (SINE)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;MIR-core;Mermaid					SINE	tRNA-Mermaid	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;MIR-core;RTE-end	SINE with a 3' end derived from an RTE-type LINE.			86	SINE	tRNA-Core-RTE	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;MIR-core;Unknown_LINE-dependent				205	SINE	tRNA-Core	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Meta-core	Animal-wide conserved SINE central region.		https://www.ncbi.nlm.nih.gov/pubmed/?term=26872770							
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Meta-core;Unknown_LINE-dependent				44	SINE	tRNA-Meta	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No-core	SINEs lacking a central region.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No-core;L1-dependent	A retroposon mobilized by an L1-type LINE.			245	SINE	ID	SINE	R/S (SINE)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No-core;L1-dependent;B2	A rodent specific SINE family.			111	SINE	B2	SINE/SINE1	R/S (SINE)/L (7SL)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core	SINEs lacking a central region or with central region yet unrelated to that of other SINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;BovB-end	SINE with a 3' end derived from a BovB-type LINE.			22	SINE	RTE-BovB	SINE	R/S (SINE)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;CR1-end	SINE with a 3' end derived from a CR1-type LINE.			2	SINE	tRNA-CR1	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;I-end	SINE with a 3' end derived from a I-type LINE.			5	SINE	tRNA-I	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;Jockey-end				6	SINE	tRNA-Jockey	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;L1-dependent	A retroposon mobilized by an L1-type LINE.			119	SINE	tRNA-L1	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;L2-end	SINE with a 3' end derived from a L2-type LINE.			186	SINE	tRNA-L2	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;R1-end	SINE with a 3' end derived from an R1-type LINE.				SINE	R1	SINE	R/S (SINE)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;R2-end	SINE with a 3' end derived from an R2-type LINE.				SINE	tRNA-R2	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;RTE-end	SINE with a 3' end derived from an RTE-type LINE.			117	SINE	tRNA-RTE	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;Rex-end	SINE with a 3' end derived from an Rex-type LINE.				SINE	tRNA-Rex	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;Tad1_End	SINE with a 3' end derived from a Tad1-type LINE.				SINE	tRNA-Tad1	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;Unknown_LINE-dependent				1246	SINE	tRNA	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Sauria-core	Conserved central region so far limited to squamate SINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Sauria-core;L2-end	SINE with a 3' end derived from a L2-type LINE.			61	SINE	tRNA-Sauria-L2	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Sauria-core;RTE-end	SINE with a 3' end derived from an RTE-type LINE.			105	SINE	tRNA-Sauria-RTE	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Sauria-core;Unknown_LINE-dependent				45	SINE	tRNA-Sauria	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;V-core										
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;V-core;CR1-end	SINE with a 3' end derived from a CR1-type LINE.			31	SINE	tRNA-V-CR1	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;V-core;L2-end					SINE	tRNA-V-L2	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;V-core;RTE-end		RTE-end		6	SINE	tRNA-V-RTE	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;V-core;Unknown_LINE-dependent				376	SINE	tRNA-V	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;V_and_MIR-core										
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;V_and_MIR-core;L2-end	SINE with a 3' end derived from a L2-type LINE.			13	SINE	tRNA-V-Core-L2	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_and_5S_RNA	SINEs retaining fragment of both a tRNA and 5S RNA; promoter can come from either.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_and_5S_RNA;No_or_Unknown_Core	SINEs lacking a central region or with central region yet unrelated to that of other SINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_and_5S_RNA;No_or_Unknown_Core;Unknown_LINE-dependent					SINE	tRNA-5S				
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_and_7SL_RNA	SINEs retaining fragment of both a tRNA and 7SL RNA; promoter can come from either.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_and_7SL_RNA;No-core	SINEs lacking a central region.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_and_7SL_RNA;No-core;L1-dependent	A retroposon mobilized by an L1-type LINE.			36	SINE	B4	SINE/SINE1	R/S (SINE)/L (7SL)?		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_and_7SL_RNA;No_or_Unknown_Core	SINEs lacking a central region or with central region yet unrelated to that of other SINEs.									
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_and_7SL_RNA;No_or_Unknown_Core;Unknown_LINE-dependent					SINE	tRNA-7SL	SINE/SINE2	R/S (SINE)/T (tRNA)		
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon										
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Inverted_Long_Terminal_Repeat_Elements										
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Inverted_Long_Terminal_Repeat_Elements;Tyrosine_Recombinase_Elements										
Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Inverted_Long_Terminal_Repeat_Elements;Tyrosine_Recombinase_Elements;DIRS				1794	LTR	DIRS	LTR/DIRS	R/Y (DIRS)/D (DIRS)	Y-retrotransposons	
